title,agency,career_level,salary_range_from,salary_range_to
Certified IT Administrator (LAN/WAN)- Level 2,NYC EMPLOYEES RETIREMENT SYS,Experienced (non-manager),85371,98177
ID Investigator Supervisor,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),86520,86520
Assistant Director of Leasing and Acquisitions,DEPT OF CITYWIDE ADMIN SVCS,Manager,110000,114250
Director of Homeless Placement Services for The Division of Housing Opportunity & Program Services (HOPS),HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),95000,105000
Assistant Civil Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,65640
Senior Stationary Engineer Electric,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),618.24,618.24
City Park Worker,DEPT OF PARKS & RECREATION,Entry-Level,18.17,20.9
Agency Attorney,DEPARTMENT OF CORRECTION,Experienced (non-manager),79620,91563
Assistant General Counsel,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),79620,117541
BOROUGH CERTIFICATION MANAGER,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),73294,88000
Senior Investigative Attorney,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),75000,75000
CIVIL SERVICE GENERALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),70611,81203
Principal Administrative Associate,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),47418,69462
Project Director,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),74650,103631
Director- Project Delivery,DEPT OF ENVIRONMENT PROTECTION,Manager,80931,208826
TECHNICAL SUPPORT SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Manager,61594,70833
CASEWORKER,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),44009,50610
COMMUNITY ASSOCIATE,NYC HOUSING AUTHORITY,Entry-Level,62215,62215
Supervising Assistant General Counsel,DEPARTMENT OF CORRECTION,Experienced (non-manager),83158,95632
Senior Energy Analyst,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),84468,97138
FAMILY SOCIAL SERVICE COORDINATOR,NYC HOUSING AUTHORITY,Experienced (non-manager),57394,89095
Purchasing Specialist- Office of Chief Information Officer,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),58695,77000
FDNY OATH Representative,FIRE DEPARTMENT,Experienced (non-manager),65160,90603
CLAIM SPECIALIST,LAW DEPARTMENT,Experienced (non-manager),41483,47705
Continuum of Care (CoC) Budget Analyst for the Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),70000,80000
Chief Dockmaster,DEPT OF PARKS & RECREATION,Experienced (non-manager),68000,72000
Chief Dockmaster,DEPT OF PARKS & RECREATION,Experienced (non-manager),68000,72000
DESKTOP SUPPORT TECHNICIAN,OFFICE OF EMERGENCY MANAGEMENT,Experienced (non-manager),57500,76000
Permit Supervisor,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53057,77124
Lab Associate - 2 positions,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),49033,54265
HOUSING COURT PROCESSING TEAM SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51869,60000
Wetlands Compliance Specialist,DEPT OF PARKS & RECREATION,Experienced (non-manager),82506,82506
Summer Intern,DEPARTMENT OF TRANSPORTATION,Student,15.93,24.73
STAFF NURSE,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),84744,84744
Outdoor Ropes Course Facilitator,DEPT OF PARKS & RECREATION,Entry-Level,20.9814,20.9814
Associate Disciplinary Counsel,FIRE DEPARTMENT,Experienced (non-manager),79620,117541
Civil Engineer,DEPARTMENT OF SANITATION,Experienced (non-manager),67757,98128
City Park Worker,DEPT OF PARKS & RECREATION,Entry-Level,16.6264,16.6264
PC BANK FACILITATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51715,51715
CONTROL CLERK,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),36390,41848
Special Assistant and Operations Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),84468,111003
DIRECTOR- CAPACITY BUILDING,DEPARTMENT OF BUSINESS SERV.,Manager,64749,83000
POOL PROCESSOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),36390,41848
Supervisor (Watershed Maintenance) II,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),73006,86335
ASSISTANT DIRECTOR- BOROUGH INITIATIVES AND RESIDENT PROGRAMS,NYC HOUSING AUTHORITY,Experienced (non-manager),64749,134280
Unit Head  Closeout,OFFICE OF MANAGEMENT & BUDGET,Manager,98388,98388
TRANSPORTATION AND INFRASTRUCTURE PROGRAM MANAGER,OFFICE OF EMERGENCY MANAGEMENT,Experienced (non-manager),65000,74000
Director- Project Delivery,DEPT OF ENVIRONMENT PROTECTION,Manager,80931,208826
Community Liaison,PRESIDENT BOROUGH OF MANHATTAN,Experienced (non-manager),60000,60000
Assistant Deputy Chief of Facilities â Services,LAW DEPARTMENT,Experienced (non-manager),45811,51766
Contract/Budget Coordinator-  Bureau of Grants Management and Administration,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),48612,70000
Deputy Director of Finance,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),84451,105000
TEST AUTOMATION ENGINEER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),75000,113000
SUPERVISOR OF PLUMBERS,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),387.03,387.03
Exterminator- Bureau of Veterinary and Pest Control Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),37504,53632
Principal Administrative Associate- Level II,POLICE DEPARTMENT,Experienced (non-manager),53057,77124
Inspector- Bureau of Veterinary and Pest Control Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),49961,49961
Purchasing Agent,LAW DEPARTMENT,Experienced (non-manager),18.7318,21.5419
Public Realm Planner,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),73294,107071
INTAKE WORKER,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),38333,44083
EIOD Assistant- Bureau of Early Intervention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),40017,46019
Borough Supervisor,DEPT OF ENVIRONMENT PROTECTION,Manager,62475,78345
Marine Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),83189,83189
BIM DESIGNER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56069,78142
Senior Project Manager- Capital Project Implementation,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),85000,95000
Deputy Director,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),53702,123150
Resident Engineer,DEPT OF PARKS & RECREATION,Experienced (non-manager),80000,85000
CASE MANAGEMENT TEAM LEADER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),66430,76394
Deputy Director of Forestry,DEPT OF PARKS & RECREATION,Experienced (non-manager),82000,87000
Deputy Director of Forestry,DEPT OF PARKS & RECREATION,Experienced (non-manager),82000,87000
ATTORNEY II,HRA/DEPT OF SOCIAL SERVICES,Manager,71423,107032
Department Librarian,LAW DEPARTMENT,Experienced (non-manager),43834,50409
SERIOUS INCIDENT ANALYST,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),62470,80008
Case Manager for the Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Entry-Level,38333,44083
Assistant District Attorney Fall 2024,BRONX DISTRICT ATTORNEY,Entry-Level,73579,75121
Executive Director- Strategic Initiatives,DEPARTMENT OF CORRECTION,Manager,72038,135000
District Manager,BRONX COMMUNITY BOARD #4,Manager,58700,161534
Financial Management Systems Developer,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),0,75000
HOTEL OUTREACH SPECIALIST,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),53057,77124
BUYER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),60010,100875
Human Trafficking Social Worker/Victim's Advocate,BRONX DISTRICT ATTORNEY,Experienced (non-manager),70000,70000
Associate Contract Specialist,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),60193,69222
Desktop Support,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),54281,63860
DIRECTOR OF OPERATIONS,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),94715,136260
Associate Chemist I,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),47945,82220
Public Health Advisor II- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),51528,54228
SENIOR FULL STACK .NET DEVELOPER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),75000,125000
Public Health Advisor I - Data Entry and Follow Up Team (Part-Time)- Bureau of School Health,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,21.41,27.62
Traffic Device Maintainer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),51317,67044
Deputy Counsel,DEPARTMENT OF TRANSPORTATION,Manager,72038,192152
Assistant Mechanical Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
MACHINIST,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),37.28,43.4
Assistant District Attorney -  Various Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),75121,167610
Resident Communications Associate,NYC HOUSING AUTHORITY,Entry-Level,38333,63794
GETCOVEREDNYC OUTREACH DIRECTOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),62282,84836
Unit Head  Technology Budget & Management,OFFICE OF MANAGEMENT & BUDGET,Manager,103307,103307
SUMMER GRADUATE INTERN  Parks,OFFICE OF MANAGEMENT & BUDGET,Student,19.5,19.5
SCADA Support Specialist,DEPT OF ENVIRONMENT PROTECTION,Manager,85371,109990
Data Analyst- PNA,NYC HOUSING AUTHORITY,Experienced (non-manager),67757,100088
Data Analyst,LAW DEPARTMENT,Experienced (non-manager),62470,80008
Travel Desk Supervisor- Bureau of Facilities Planning and Administrative Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),50972,75291
Analyst FISCAL,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,65604
Exterminator- Bureau of Veterinary and Pest Control Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),34027,42000
Section Chief of Lifecycle Management,DEPT OF ENVIRONMENT PROTECTION,Manager,94283,122290
Front Desk Receptionist,FIRE DEPARTMENT,Experienced (non-manager),40017,46019
EHS Training Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),70611,105138
ASSISTANT COUNSEL,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),83158,95632
Executive Program Manager,DEPT OF ENVIRONMENT PROTECTION,Manager,72038,192152
Director- Riker's Island Central Cashier (RICC),DEPARTMENT OF CORRECTION,Experienced (non-manager),95000,113550
Assistant Director for Monitoring and Quality Improvement- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),84468,103000
Stormwater Inspector,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),65640,85646
Assistant General Counsel,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),79620,117541
Associate Water Use Inspector Level II,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),61391,78461
Senior Program Manager for Metered Curb Planning,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),80091,116999
PROJECT DIRECTOR/SENIOR BUSINESS ANALYST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),98901,136951
Land Acquisition Specialist - 2 positions,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),70611,105138
Civil Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90114,122168
PROGRAM OPERATIONS BUDGET ANALYST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),70611,81203
Special Officer,BRONX DISTRICT ATTORNEY,Experienced (non-manager),40554,40554
Assistant Plan Examiner- Energy Code,DEPARTMENT OF BUILDINGS,Experienced (non-manager),65193,74972
Public Health  Advisor- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),39096,44960
Director of Open Restaurants,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),78128,118657
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
Carpenter,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),375.06,375.06
JOB ADMIN ANALYST,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),0,75000
Payment Analyst,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),53276,72389
Associate Energy Engineer- Building Optimization,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),75504,86830
CARETAKER X,NYC HOUSING AUTHORITY,Entry-Level,31836,46278
Unit Head FEMA Insurance and Contract Administration,OFFICE OF MANAGEMENT & BUDGET,Manager,103307,103307
Citywide Health and Safety Planner- Bureau of Agency Preparedness and Response,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),75504,86830
NeON Programs Intern,DEPARTMENT OF PROBATION,Student,15,17.5
Deputy Commissioner- Chief Information Officer,DEPARTMENT OF CORRECTION,Executive,195000,225000
Project Manager (Environmental),DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),64140,74606
STATIONARY ENGINEER,DEPT OF RECORDS & INFO SERVICE,Experienced (non-manager),508.8,508.8
Program Coordinator- Program Development and Community Partnerships,DEPARTMENT OF CORRECTION,Entry-Level,57394,66003
Internal Auditor,LAW DEPARTMENT,Experienced (non-manager),56013,82436
Analyst   Department of Social Services (DSS) / Department of Homeless Services (DHS),OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,65604
Auto Mechanic,DEPARTMENT OF SANITATION,Experienced (non-manager),37.28,43.4
WATERSHED MAINTAINER,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,41033,60017
Procurement Analyst,DEPT OF RECORDS & INFO SERVICE,Experienced (non-manager),41395,65000
Syndromic Surveillance Epidemiologist- Bureau of Communicable Diseases,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),84468,97138
Claims Review Specialist,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
ELEVATOR ADMINISTRATOR,NYC HOUSING AUTHORITY,Manager,64922,173486
Investigative Engineer,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),64230,80000
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),67757,77921
IT Support Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),85371,119883
Billing Supervisor,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),84451,113550
Field Coordinator,DEPARTMENT FOR THE AGING,Experienced (non-manager),54100,62215
IT SYSTEMS ADMINISTRATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),81951,102136
Construction Inspector,DEPARTMENT OF BUILDINGS,Experienced (non-manager),53563,61800
IT Project Manager,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),78795,99860
Collections Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80557,111917
Staff Physician  (Part-Time),DEPARTMENT OF CORRECTION,Experienced (non-manager),78.04,98.84
QUALITY CONTROL CASE REVIEWER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,61015
Deputy Division Chief of Engineering,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,173486
SENIOR ORACLE PL/SQL DEVELOPER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),98901,136951
AGENCY ATTORNEY INTERNE,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),62397,71757
Assistant Commissioner- Facility Operations,DEPARTMENT OF CORRECTION,Executive,201587,201587
Electrician,NYC HOUSING AUTHORITY,Experienced (non-manager),62.88,62.88
Operations Analyst,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),62470,80008
Data Analyst,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),45113,60000
Senior Lead Research Analyst-  Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),84468,97138
Assistant Counsel,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),63228,78529
Staff Physician,DEPARTMENT OF CORRECTION,Experienced (non-manager),78.04,83.61
Director- Program Operations,DEPARTMENT FOR THE AGING,Manager,95000,105000
Senior Design Reviewer (Mechanical),DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),53702,105000
Civil Engineer II,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80557,111917
Technology Project Management Analyst,DEPARTMENT OF TRANSPORTATION,Student,15.5,19.9
DEPUTY DIRECTOR,NYC HOUSING AUTHORITY,Manager,72038,192152
EHS Management Systems Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),84468,111003
PEACE OFFICER,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),34834,34834
ASYLUM PLACEMENT STAFF,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),44009,75372
Asbestos Enforcement Inspector,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,52923,52923
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51869,59649
Analyst  Reimbursements,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,73806
Senior Counsel,DEPARTMENT OF TRANSPORTATION,Manager,58700,161534
Public Health Inspector- Bureau of Food Safety and Community Sanitation (BFSCS),DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45722,45722
Investigator,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),45113,50000
Business Intelligence (BI) Analyst- Bureau of Human Resources and Labor Relations,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),95000,95000
Supervisor of Driver Licensing Services,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),43728,68645
Reliability Centered Maintenance Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),58700,161534
SYSTEM DATA ASSOCIATE,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),71707,82463
SNAP FH ELIGIBILITY COMPLIANCE SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
MEDICAID ELIGIBILITY SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
Summer Rising Program Monitor,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),32.3569,50.2288
Associate Commissioner - Adult Operations,DEPARTMENT OF PROBATION,Manager,72038,192152
ROSS ZONE COORDINATOR- EAST HARLEM,NYC HOUSING AUTHORITY,Experienced (non-manager),54100,83981
Staff Analyst,TECHNOLOGY & INNOVATION,Experienced (non-manager),62470,71840
Principal Administrative Associate- Level II,POLICE DEPARTMENT,Experienced (non-manager),53057,77124
Data Manager,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),63053,88600
Asset Management Planning Section Chief,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,173486
ASHR Technician,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),51345,74762
Associate Public Health Sanitarian,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),67335,101875
PREVAILING WAGE INVESTIGATOR,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),54100,83981
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Entry-Level,56677,65179
Senior Project Manager- Capital Project Implementation,DEPT OF CITYWIDE ADMIN SVCS,Manager,85000,95000
Material Logistics Assistant (College Aide),DEPT OF HEALTH/MENTAL HYGIENE,Student,15.5,19.9
Administrative Support for the Division of DSE-AEP,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),54100,62215
Unit Head  NYCHA,OFFICE OF MANAGEMENT & BUDGET,Experienced (non-manager),103307,103307
